Review,Title,Rating,day,month,year,hour,minute,second,dayofweek,weekofyear,raw time,Country,Username,Reviews,Reads,Useful,Genre
"Dear Rebtel, why are mentioning unlimited calls and after one week you been restricting the phone calls and iam totally worry about that and email customer care are very unresponsible,",cheating Plan and poor customer care,1,16,1,2016,8,56,44,6,2,2016-01-16T08:56:44,United States,Rafi ibrahim,1,0,0,
I really wish if u guys can remove the one month validation for the deals because usually I wasted that but in fact is really good deal. so u guys are the best in terms of calls and quality.  but if u can remove the limitations of the deals that would super awesome.,limit of calls,5,15,1,2016,7,27,57,5,2,2016-01-15T07:27:57,United States,Suliman,1,0,0,
"I downloaded the app and used it, however, I wanted to upload payment into my account and since my credit card was already registered, they took payment from my account 8 times. All I wanted was a one payment of £8.60, but £60.00 was eventually taken out. This is fraudulent, if you're going to use them don't register your credit card details with them. I requested for a refund for being overcharged, instead I got receipts. FRAUDS!",Money taken out of my account eight times in one day,1,13,1,2016,21,55,25,3,2,2016-01-13T21:55:25,United Kingdom,Sylvia,1,0,0,
hai,Indian calling offer it is a Unlimited Calling ? I can't Tell it is a Unlimited Calling offer,2,10,1,2016,18,54,45,7,1,2016-01-10T18:54:45,United States,919567529743,1,0,0,
"I bought credit to call family on Christmas day. Rebtel took my money but did not give me the credit. When I disputed the claim on Paypal after numerous unsuccessful attempts to contact Rebtel customer service, Rebtel suspended my account.",Horrible fraudulent service - give me my money back!!,1,9,1,2016,7,9,7,6,1,2016-01-09T07:09:07,United States,Nefertiti,1,0,0,
I'm fully satisfied,thanks Rebtel!!!,5,8,1,2016,0,23,31,5,1,2016-01-08T00:23:31,United States,wiifaratsawengfung,1,0,0,
Poor customer service.,Cheap Calls,3,7,1,2016,18,40,46,4,1,2016-01-07T18:40:46,United States,MONTASER M,1,0,0,
"It is not UNLIMITED INDIA CALLING plan...It is just FIXED MOBILE NUMBER plan. Initially, Rebtel will give you the flexibility for making unlimited calls to India & lated 1 month, they will give you only fixed number calling. It means:",It is not UNLIMITED INDIA CALLING plan...It is just FIXED MOBILE NUMBER plan,1,7,1,2016,18,14,56,4,1,2016-01-07T18:14:56,United States,Sandy,1,0,0,
"I had been using Rebtel for 5 years.  Their prices are ok, not the best.  For a period early on on calls to Ukraine from USA the call quality was poor and I was disconnected several times.  I emailed customer service and they switched satellites or something and the call quality got better.  Rebtel did NOT offer any credit or free call time as a concession for the poor service and disconnected calls.  Other international phone companies always did SOMETHING to make it up to me in the past.",Sevice Quality Deteriorated  NO Customer Service,1,7,1,2016,16,1,17,4,1,2016-01-07T16:01:17,United States,Brian Wilson,1,0,0,
REBTEL IS  GOOD FOR INTERNATIONAL CALLING ...VOICE CLEARITY ALSO GOOD BUT NOW SOME TIME NETWORK PROBLEM . BUT GOOD ACCORDING TO OTHER APPS.I LIKE IT.,About networks,4,6,1,2016,22,42,41,3,1,2016-01-06T22:42:41,United States,PARVEZ KHAN,1,1,0,
It's one of the best app,It's one of the best app,5,6,1,2016,17,19,6,3,1,2016-01-06T17:19:06,United States,A.A,1,0,0,
Damn slow response and that too not satisfying..,Bad Bad Bad Experience,1,6,1,2016,14,51,51,3,1,2016-01-06T14:51:51,United States,Rajesh Dobariya,1,0,0,
I am super impressed and so does my wife.,Excellent Service / Package and Voice Clearity,5,6,1,2016,13,29,51,3,1,2016-01-06T13:29:51,United States,Diipessh Mistry,1,0,0,
Every service is optimal at Rebtel. Please would you release the PC app again so that I would resume my the call by Rebtel?,"Good quality with fair charge. Since PC app was interrupted, currently am not using Rebtel.",4,6,1,2016,11,45,8,3,1,2016-01-06T11:45:08,United States,Geleta,1,1,0,
"En cas de problème, dépannage rapide, MERCI",Sérieux,5,6,1,2016,10,32,27,3,1,2016-01-06T10:32:27,France,Paul,3,9,0,
Can improve quality of voice,Some places not able to call,3,6,1,2016,10,7,54,3,1,2016-01-06T10:07:54,United States,syed,1,0,0,
"It is very easy to use and has good service. Cons: when you call the person and get the answering machine, you are charged without leaving a voicemail. Recent calls do not show up in the recent tab. The automatic top up ($10) when low credit  box seems to be always checked even when I tried to remove it in the setting. Sometimes it's hard to hear the person  on the other hand of the line and vice versa. Besides that, it's a pretty good way to communicate internationally.",Good,4,6,1,2016,8,56,1,3,1,2016-01-06T08:56:01,United States,Georgia,1,1,0,
"While your customer service and call quality are good, the rates and extra (hidden) fees are in desperate need of adjustment. There's room for improvement, just remember that the business and services you offer are to keep family and loved ones connected, hence promoting love/closeness (should not have to make one choose which meal to skip as to afford a phone call to hear that familiar voice of your mother or husband 90 miles away)",room for improvement,3,6,1,2016,8,52,30,3,1,2016-01-06T08:52:30,United States,Nayma,1,0,0,
Good service and quick response from Customer care.,Good service and quick response from Customer care.,4,6,1,2016,8,10,15,3,1,2016-01-06T08:10:15,United States,Vishnu D,1,1,0,
"It worked absolutely fine when I took limited offer and I did not see any problems at all. But when I took 1 month unlimited subscription, calls are getting connected, voice is not clear, there is some delay and I'm not sure if it is accidental or intentional. This has to be fixed for 5*.","Some times, voice is lagging",4,6,1,2016,0,10,30,3,1,2016-01-06T00:10:30,United States,Srikanth Kakkunuri,2,1,0,
International calls at a cheaper rate provided by rebtel.,Cheap International calls,4,5,1,2016,23,47,38,2,1,2016-01-05T23:47:38,United States,Nethaji Narasimalu,2,1,0,
I use Rebtel mainly for sending SMS abroad. I use too have a Windows phone and used the app but was always having problems. I now use an Ubuntu phone.,SMS Web App,4,5,1,2016,22,5,42,2,1,2016-01-05T22:05:42,United Kingdom,Chris BennellChristopher Bennell,3,1,0,
Excellent Service and very cordial Agents. People friendly Connectivity!,The OK International Service!,5,5,1,2016,20,37,55,2,1,2016-01-05T20:37:55,United States,Onwa Chuke,1,0,0,
"When I'm calling a number that requires me to punch digits to navigate a menu or go to an extension, the keypad does not respond. I also still can't make sense of the ""local call"" that it defaults to when in calling from certain places. I don't understand why friends see a different number calling or texting them, when I use my Rebtel account.",Useful but with clunky features,3,5,1,2016,20,29,45,2,1,2016-01-05T20:29:45,United States,AV,1,0,0,
Rebtel is convenient to use with the app but they can improve the voice quality to create a better calling experience. They can also improve the dialing speed. I would recommend it to anyone who wants to make reasonable quality international calls at good price.,Good service but can improve,3,5,1,2016,19,52,23,2,1,2016-01-05T19:52:23,United States,sharath,1,0,0,
It is a very good application and the customer service is excellent,Thank you for your excellent service,5,5,1,2016,19,21,33,2,1,2016-01-05T19:21:33,United States,STANLY,1,0,0,
"Excellent – no reservations, I would recommend this company to anyone.]",Easy to use and good rates,5,5,1,2016,18,11,36,2,1,2016-01-05T18:11:36,United States,Simon,1,0,0,
Was good in May respects,Good calling experience,4,5,1,2016,17,52,45,2,1,2016-01-05T17:52:45,United States,nafsin,1,1,0,
Rebtel has provided me efficient international phone service that is as good as that provided by major phone companies but at a fraction of their cost.  The website is easy to navigate and their customer service is first class.  Keep up the good work Rebtel!,Rebtel Phone Service,5,5,1,2016,17,20,26,2,1,2016-01-05T17:20:26,United States,G J,1,0,0,
Call rates are really best in the market.,Good call experience but with bad login & payment issues,3,5,1,2016,16,51,47,2,1,2016-01-05T16:51:47,United States,Lava,1,0,0,
I have many months using Rebtel services and I can recommend this service to others. As a customer I feel really happy and the support service is highly professional.,Great Service!,5,5,1,2016,16,31,28,2,1,2016-01-05T16:31:28,United States,Rolando Santamaria Maso,1,0,0,
"Crystal clear voice, cheap calling rates ,",Money Saving Technology,5,5,1,2016,16,10,15,2,1,2016-01-05T16:10:15,United States,Khush singh,1,0,0,
"I love this app, it permits me to talk clearly with my family and friends all over the world!",Way better than calling cards!,4,5,1,2016,14,54,52,2,1,2016-01-05T14:54:52,United States,Lily,1,1,0,
I have some problems I forwarded ur customer care,What is that exceeded Rebtel call blacking,5,5,1,2016,14,45,55,2,1,2016-01-05T14:45:55,United States,saravanan,1,0,0,
Good one and economic one too.,Excellent to use,5,5,1,2016,14,35,23,2,1,2016-01-05T14:35:23,United States,Alagappan,1,0,0,
He tenido muy buena experiencia  previa iones y calidad de las llamadas,Mis llamadas han sido con muy buena calidad,5,5,1,2016,14,18,15,2,1,2016-01-05T14:18:15,United States,Marialnis Rodriguez,1,10,0,
"La calidad del personal tecnico es buenisima , las propuestas que hacen son excelentes solo que los impuestos son muy altos.La calidad de la linea algunas veces no es la mejor pero sus tecnicos siempre encuentran una solucion rapida e factible y lo mas importante te regresan el dinero de la comunicacion que ha presentado problemas. En cuanto a los impuesto no entiendo porque la vostra compañia tenga los mas altos si existen otras compañias en europas como por ejemplo CASIENCUBA  que sus llamadas no incluyen impuestos y la calidad de las llamadas es buena.",Impuestos muy altos,4,5,1,2016,14,17,50,2,1,2016-01-05T14:17:50,United States,Niurka Caula,1,18,0,
Perfect for international calls and easy to use. This is very good for me and I have been using it for many years now. Thanks Rebtel,Excellent,5,5,1,2016,14,17,31,2,1,2016-01-05T14:17:31,United States,Emeka,1,0,0,
La calidad con la que se escucha la llamada es muy buena,Calidad,5,5,1,2016,14,14,2,2,1,2016-01-05T14:14:02,United States,Lourdes,1,12,0,
Even the phone you called is off  and it kept on showing that it's ringing. It creates major misunderstanding. Please work on it so that we can hear real ring,fake ring,4,5,1,2016,14,12,18,2,1,2016-01-05T14:12:18,United States,gopal Krishan,1,1,0,
This is a good system for international calls and not too expensive!  I always use it to call my relatives in Cuba and it works fine.,Good system!,4,5,1,2016,14,4,24,2,1,2016-01-05T14:04:24,United States,ILIANA,1,1,0,
Happy to use great offers,Good one,4,5,1,2016,13,52,48,2,1,2016-01-05T13:52:48,United States,Srinivas,1,1,0,
Cant call to other mobile numbers to india from kuwait only one or two mobile numbers can be called for unlimited plan then what is the use of unlimited plan becoz of this I dint renew rebtel account this time if u make a solution I will be happy to renew the account,Cant call certain mobile numbers,1,5,1,2016,13,40,32,2,1,2016-01-05T13:40:32,United States,anoop,1,0,0,
Very happy for Rebtel,Cool,5,5,1,2016,13,36,34,2,1,2016-01-05T13:36:34,United States,Oumaro,1,0,0,
"Basically rebtel s one of best app for India.I use lot of app but not comfortable. Rebtel is price ,voice clarity and offer it was super super super",Best app,5,5,1,2016,13,33,16,2,1,2016-01-05T13:33:16,United States,SULTAN SYED,1,0,0,
I use Rebtel to call family and friends in England (from US). I wish I knew about it years ago instead of spending so much with traditional phone company. It's fantastic! I highly recommend it.,Excellent product,5,5,1,2016,13,32,32,2,1,2016-01-05T13:32:32,United States,Karen M,1,0,0,
Other party can't hear clearly most of time line disconnect some of numbers can't connect call just disconnect straight after 2 rings,Other party can't hear properly,3,5,1,2016,13,31,30,2,1,2016-01-05T13:31:30,United States,Chandran,1,0,0,
BEST SERVICE REBTEL!!!!,BEST SERVICE REBTEL!!!!,5,5,1,2016,13,22,50,2,1,2016-01-05T13:22:50,United States,sami,1,0,0,
I had a issue and sent a email inquiring about the problem and with no questions asked they took care of the problem. .  Quick and simple.  Thanks again.,Excellent service,5,5,1,2016,13,18,25,2,1,2016-01-05T13:18:25,United States,Mr. Knight,1,0,0,
"No real issues encountered. Call clarity has been good. Beware of the call frequency requirements - if not used, your credit can disappear.",Works well for my overseas calls.,4,5,1,2016,13,17,2,2,1,2016-01-05T13:17:02,United States,Bruce,1,1,0,
A im happy for Rebtal,im happy for Rebtal,5,5,1,2016,13,3,25,2,1,2016-01-05T13:03:25,United States,Mohamed,1,0,0,
Its ringing even though the phn is off on other side.,Confused,3,5,1,2016,13,1,23,2,1,2016-01-05T13:01:23,United States,mohammad,1,0,0,
This is a great service.,Very good way for long distance calls,4,5,1,2016,12,53,18,2,1,2016-01-05T12:53:18,United States,Miguel,2,1,0,
Tres bonne application,note,5,5,1,2016,12,49,18,2,1,2016-01-05T12:49:18,United States,DIEDJI,1,5,0,
"They advertise like unlimited calls to india for $10 , but after making calls to few numbers in india, im getting message like i have exceeded the unique number limit. I have never seen this condition anywhere in their advertisement. Also, worst part is, even im not able to call with my original balance in rebtel account. Really frustrated with rebtel service. If complaint about this, they keep on sending the same template mail which doesnt have any clarifications.",Worst service.,1,4,1,2016,14,7,23,1,1,2016-01-04T14:07:23,United States,veera,1,0,0,
"The app and the website would not let me add credit. Overall, not user friendly",No way to speak to customer service,1,2,1,2016,19,23,41,6,53,2016-01-02T19:23:41,United States,Rich Man,1,0,0,
"Hi,",Charged me twice for same service in a month,1,30,12,2015,19,2,28,3,53,2015-12-30T19:02:28,United States,Priya,1,0,0,
"I got an email for 100 free minutes call to Nigeria. I tried clicking on the 'claim offer' tab but nothing happened. So I went ahead to make a payment on the website thinking that the 100 minutes will be added. That was not the case. I also sent an email to info@info... stating the error. Rebtel, can you rectify this by adding the free minutes to my account?",100 free minutes,3,25,12,2015,5,17,53,5,52,2015-12-25T05:17:53,United States,Ola,1,0,0,
"1) Lately when I ask for a local number for a new contact, Rebtel gives me a number of someone who is already on my contact list. For example when I asked for local numbers for Chibuzo Anyanwu Rebtel gave him Baby Okwandu's number, for Okoro Mason Rebtel gave Chinenye Okoro's number, for Emeka I. Onyeso Rebtel gave him Longinus local number. Does Rebtel have a limited number of local numbers that it can give after which it starts duplicating numbers?",Poor customer service.,3,24,12,2015,2,30,9,4,52,2015-12-24T02:30:09,United States,Chris,1,0,0,
Unacceptable response on queries & Unlimited plans are real cheating.,Unacceptable response on queries & Unlimited plans are real cheating,1,23,12,2015,21,16,28,3,52,2015-12-23T21:16:28,United States,Arun Kumar,1,0,0,
"Talking of the clarity and connectivity, Rebtel is the best.",Still the best when it comes to international calling deal.,5,23,12,2015,6,21,3,3,52,2015-12-23T06:21:03,United States,Nurudeen,1,0,0,
First - They might already have an account for you even though you never created one! (So me and my friend never got the intro bonus even though she referred me to Rebtel and never heard of it before),Useless,1,22,12,2015,0,21,23,2,52,2015-12-22T00:21:23,United States,Amita,1,0,0,
"They advertise like unlimited calls to india for $10 , but after making calls to few numbers in india, im getting message like i have exceeded the unique number limit. I have never seen this condition anywhere in their advertisement. Also, worst part is, even im not able to call with my original balance in rebtel account.  Really frustrated with rebtel service. If complaint about this, they keep on sending the same template mail which doesnt have any clarifications.",Unlimited call to india -  fraud by rebtel,1,19,12,2015,3,30,23,6,51,2015-12-19T03:30:23,United States,Mathivanan,1,0,0,
I'm experiencing a bad connection lately. It was very clear before. I gave it a try again but still the same. Sorry to say about it.,Bad connection,2,17,12,2015,13,27,3,4,51,2015-12-17T13:27:03,United States,novera,1,0,0,
I would recommend rebtel without thinking about it.,Rebtel is very good,5,17,12,2015,12,36,33,4,51,2015-12-17T12:36:33,United States,abiola gold,1,0,0,
I do not mind the call drop or difficulty connecting calls I received sometime until rebtel stopped the unlimited call to one of the countries I frequently call.    I will soon be looking for alternative because there other options that are available.,Cost and call connection,3,17,12,2015,3,20,41,4,51,2015-12-17T03:20:41,United States,Dorothy,1,0,0,
"I've been using Rebtel since 2012, no problems. I have stayed with them due to their good rates. Recently I added $150 of credit instead of the intended $8. I panicked and sent  multiple messaged to them through their website, Twitter and instagram, by the time I woke up the next day, I had gotten replies to all the messages I had sent and my problem was resolved. Thank you Rebtel!",Speedy and efficient service,5,17,12,2015,3,8,1,4,51,2015-12-17T03:08:01,United States,Obi,1,0,0,
Excellent service,Excellent.,5,16,12,2015,17,13,55,3,51,2015-12-16T17:13:55,United States,collins,1,0,0,
"Compared to other services out there Rebtel is too expensive. In 2016, I may discontinue the of rebtel.",Rebtel cannot be reached. No customer service representative to help answer users question,1,16,12,2015,16,27,27,3,51,2015-12-16T16:27:27,United States,Biz,1,0,0,
"When it comes to matters of refunds or complaints, most times rebtel's economic gains rather than the customer's satisfaction is thrown to the moribund.",Customer's satisfaction.,3,16,12,2015,15,38,49,3,51,2015-12-16T15:38:49,United States,george,1,0,0,
"Anytime I have had a problem or needed help or something changed or corrected the service has always been friendly ,professional and resolved.",This company has a fantastic staff!!!,5,16,12,2015,15,32,11,3,51,2015-12-16T15:32:11,United States,Stephanie,1,0,0,
There used to be a apps that allows you to talk I ther rebtel user for free.  This feature was removed and now been charged for call with other rebtel users. What a bad ideas.,The rebtel to rebtel apps..,3,16,12,2015,15,30,6,3,51,2015-12-16T15:30:06,United States,Rem Lat,1,0,0,
"I have a good experience with rebtel, but its still expensive.",abdu,4,16,12,2015,15,10,31,3,51,2015-12-16T15:10:31,United States,ABDOULAYE,1,1,0,
Muy bueno y cuando hay problemas las resuelve muy bien  gracias.,Exelente,5,16,12,2015,12,29,27,3,51,2015-12-16T12:29:27,United States,Juan c,1,17,0,
"Your service is very convenient to use, but there are a few pitfalls.",Convenient Service,4,16,12,2015,11,53,2,3,51,2015-12-16T11:53:02,United States,Paul,1,1,0,
"Rebel is very reliable,  dependable and cheap",reliability,5,16,12,2015,10,1,54,3,51,2015-12-16T10:01:54,United States,adekunle,1,0,0,
C'était bien plus que ça génial merci encore,Merci c'était parfait le service de Rebtel,5,16,12,2015,6,41,8,3,51,2015-12-16T06:41:08,United States,Timboursaint,1,38,0,
Oustanding communication service when using both internet or local providers,Communication: 5/5,4,16,12,2015,3,17,18,3,51,2015-12-16T03:17:18,United States,Reinaldo,1,1,0,
Excelente servicio !!!!,Excelente servicio !!!!,5,16,12,2015,2,44,50,3,51,2015-12-16T02:44:50,United States,Monchy,1,0,0,
The phone rings when it doesn't even connect but the clarity of calls is still amazing to me,It's the best out there so far,5,15,12,2015,23,33,3,2,51,2015-12-15T23:33:03,United States,EFE,1,0,0,
Rebtel is an excellent company. They are prompt at responding to complaints.,Rebtel,4,15,12,2015,22,4,13,2,51,2015-12-15T22:04:13,United States,Jackson,1,1,0,
"I like to use Rebtel and like to recommend it to others. Using a smartphone, iPhone it is easy to use. With a normal phone for some people maybe more complicated as you need the special numbers.",very useful but less know then viber! WHY???,4,15,12,2015,19,2,30,2,51,2015-12-15T19:02:30,United States,Andreas,1,1,0,
The customer service is great. Being human we are not  perfect.Sometimes  there are minor mistakes.                                                 Joseph A. Okogba,Rebtel is very good.,4,15,12,2015,18,57,34,2,51,2015-12-15T18:57:34,United States,Joseph,1,1,0,
THE SERVICE IS VERY GOOD AND IT SAVE MY TIME.,GREAT,4,15,12,2015,18,46,27,2,51,2015-12-15T18:46:27,United States,Rose,1,1,0,
Since i have been with Rebtel i have never experience any problem with my calls. It is very accurate. I love Rebtel.,REBTEL IS VERY RELIABLE.,5,15,12,2015,18,33,15,2,51,2015-12-15T18:33:15,United States,Alhassan K Bawule,1,1,0,
The call quality to Egypt is atrocious.,Terrible Call Quality,3,15,12,2015,18,24,15,2,51,2015-12-15T18:24:15,United States,Clyde,1,0,0,
Cuba keeps a difficult country for find a good conection...,the best in the market,4,15,12,2015,17,59,59,2,51,2015-12-15T17:59:59,United States,Pedro,1,1,0,
Why I can't use my home phone any more to call to Poland? I don't have any cell phone. I still want to use Rebtel to call to my family in Poland and used my home phone.,"rebtel is great, but I cann't use it, because I don't have a cell phone. From my home phone: 928 567 0157, I can't call to my family in Poland any more.",5,15,12,2015,17,24,27,2,51,2015-12-15T17:24:27,United States,Piotr Klusek,2,1,0,
"I use to buy 1000 minutes to bangladesh for around £7 but now they have reduced this to 500 minutes for £6, very unhappy about this but overall a good service",Prices changes was not Welcome,3,15,12,2015,17,12,3,2,51,2015-12-15T17:12:03,United States,Mahibur,1,1,0,
"Rebtel offers convenient and generally reliable international calling service. However its rates are unpredictable, with the company increasing rates often and without warning leaving customers in an uncomfortable faut accompli situation. Customers are further inconvenienced when Rebtel charges for calls that do not connect, requiring customers to call the company for a refund.",Convenient and reliable but price increases are uncontrolled .,3,15,12,2015,16,49,32,2,51,2015-12-15T16:49:32,United States,Sammy,1,1,0,
"I've been using Rebtel for several years now and have seen its products mature into stable, world-class, reliable calling plans. They have rolled out a range of flexible calling plans and options that are not only well-suited for different users and budgets, but even the same user can change plans depending on different timeframes and locations that the user might require.","Reliable, convenient, terrific value",5,15,12,2015,16,49,19,2,51,2015-12-15T16:49:19,United States,US_India_user29,1,1,0,
Para mi es la mejor app que existe y servicio al cliente es el número 1,Excelencia,5,15,12,2015,16,3,53,2,51,2015-12-15T16:03:53,United States,Yudit,1,29,0,
"very good service I,m very satisfied with the prices and customer service .I used all the time to call cuba.comunication it.s fast and very clear.",good service,4,15,12,2015,15,44,17,2,51,2015-12-15T15:44:17,United States,raul,1,2,0,
Been using this app for over six months . once you have an  account use on mobile or tablet platfom. Use with local calls to connect or via WiFi when on the move. When a technical issue the customer service always respond with a positive outcome. The ring tone is meaningless as does not indicate whether the receipient phone is busy offline ringing. etc. Quality of the calls is excellent. The best and cheapest app for phoning Cuba. Call counter timer only works with the WiFi mode so can be challenging knowing the exact duration of the call. Easy to top up and excellent account management with all itemised billing available,Best for Cuba,5,15,12,2015,15,29,52,2,51,2015-12-15T15:29:52,United States,Toni,1,0,0,
Wishing others companies follow Rebtel clients services.,Very Good Service from Rebtel.,5,15,12,2015,15,20,3,2,51,2015-12-15T15:20:03,United States,Silvio,1,1,0,
We have always been satisfied with Rebtel's service.,Great company,5,15,12,2015,14,58,9,2,51,2015-12-15T14:58:09,United States,Shirley,2,0,0,
So far so good,keep it up,5,15,12,2015,14,51,58,2,51,2015-12-15T14:51:58,United States,christopher,1,1,0,
To reach Africa with phone or SMS it is the better way,Vey esay,5,15,12,2015,14,33,27,2,51,2015-12-15T14:33:27,France,M. WEGRICH Hubert,2,7,0,
"before i payed  Always with IDEAL and there was no any problem, but",bad expierience with payments!!!,3,15,12,2015,14,24,59,2,51,2015-12-15T14:24:59,United States,henriette,2,1,0,
Simple to use and clearer than all other services. I recommend it for friends  and all a sundry.,Honest Opinion,5,15,12,2015,13,56,24,2,51,2015-12-15T13:56:24,United States,Shola,1,1,0,
"Sound Quality is quite good, but sometimes creates problem but occurs very rarely. Excellent and quick customer support. Rates and Deals make India calling much cheaper than any other voip service.",Very good service,5,15,12,2015,12,43,35,2,51,2015-12-15T12:43:35,United States,SK,1,1,0,
"Rebtel has been awesome. Super voice clarity, easy to use. I would only request them to keep purchase deals accessible like before",awesome experience for 5+ years,5,15,12,2015,12,13,52,2,51,2015-12-15T12:13:52,United States,Harsh,1,1,0,
"When calling Nigeria,you cannot tell if the phone is actually ringing or not.You hear a classic ring tones for all calls,even if it goes through or not",Nigeria,3,15,12,2015,12,8,26,2,51,2015-12-15T12:08:26,United States,eki,1,0,0,
You pay for calls that sometime don't go through. One second is charged as a minute which is unreasonable.,POOR SERVICE,2,15,12,2015,12,1,12,2,51,2015-12-15T12:01:12,United States,Max O,1,0,0,
Rebtel charge me for connection and no one answer the phone that is why I don't want use this company any more,Charge,1,15,12,2015,11,50,46,2,51,2015-12-15T11:50:46,United States,Julio,1,0,0,
Pas de probleme tout est bien,bon  service,5,15,12,2015,11,37,6,2,51,2015-12-15T11:37:06,France,Bruno Farrands,2,48,0,
"No hidden charges, no contracts and no loss of time.",Easy to use,5,15,12,2015,11,33,53,2,51,2015-12-15T11:33:53,United States,MALGORZATA,1,0,0,
"It's being a part of my everyday life, family. Excellent calling application I use ever.",The Best calling app,5,15,12,2015,11,24,34,2,51,2015-12-15T11:24:34,United States,rizwan,1,0,0,
U must have to lounch india big saver deal again,india big saver deal,4,15,12,2015,11,24,14,2,51,2015-12-15T11:24:14,United States,Chaman,1,1,0,
It is a cheap way to call long distace outside the US,I find it difficult to check balace of my 30 dat offer and do I have any left,4,15,12,2015,11,11,59,2,51,2015-12-15T11:11:59,United States,Uloma,1,1,0,
"I talk to overseas people, mostly in Africa, for almost 2,000 minutes a month. I used 'phone cards until I realised their published rates only applied for the first 4 minutes of each call--then rates sky-rocket! It is very sneaky, this detail is in the small print. You may think you are paying, say, 9p/minute but you are likely to be paying 20-30p/minute.",Excellent until...,3,15,12,2015,11,11,9,2,51,2015-12-15T11:11:09,United States,William,1,0,0,
nothing to say,very good ..,5,15,12,2015,11,6,6,2,51,2015-12-15T11:06:06,United States,GUTA,1,0,0,
Super expensive,Really expensive..,1,15,12,2015,11,1,14,2,51,2015-12-15T11:01:14,Australia,mary,2,0,0,
You can Call directly without dialing an access number. Great service.,Direct call,5,15,12,2015,11,0,43,2,51,2015-12-15T11:00:43,United States,Blaise,1,0,0,
It's  ok but I always  cal  can't  hearing ring and if others  cal come thithis one always  cut.,can't  hearing ring.,3,15,12,2015,11,0,23,2,51,2015-12-15T11:00:23,United States,swami,1,0,0,
Good clarity too.,Good network,5,15,12,2015,10,58,55,2,51,2015-12-15T10:58:55,United States,Vivek,1,0,0,
Getting worse,Getting worse,2,15,12,2015,10,57,15,2,51,2015-12-15T10:57:15,United States,moke,2,1,0,
"I once enjoyed your 800 minutes/$24.99 to call Nigeria, but you no longer have it now. What happened?",Absence of your product I once enjoyed!,3,15,12,2015,10,39,3,2,51,2015-12-15T10:39:03,United States,Joseph,1,0,0,
With rebtel you do not need to cut your calls to recharge because of the option to auto-recharge. This is good for business. Connections are prompt and clear. You have rebtel individual numbers you can use  from mobile and landlines.,Value of using rebtel,4,15,12,2015,10,38,23,2,51,2015-12-15T10:38:23,United States,JI,1,1,0,
So when I first got the app it was great. Then one day they blocked my account for calling a London landline and held my credit hostage. I was told I can not call back that number if I wanted my account unblocked. Either way they ended up unblocking my account Witch was nice to use the service again because I do truly enjoy the app. But now calling the UK is four times the price as last month. And I think I am going to go to a more stable app. Either I am block for calling landlines or over night the prices go way up.,To much changing.,3,15,12,2015,10,29,17,2,51,2015-12-15T10:29:17,United States,Mary,1,0,0,
"Found excellent service. But due to conversation rate US$ to C$, per minute rate little bit high. Deal should be given 1000 minute,instead of 500 minute.",excellent service,4,15,12,2015,3,43,16,2,51,2015-12-15T03:43:16,United States,anis akand,1,0,0,
It's very good for call to the Bangladesh.,Excellent,4,15,12,2015,3,38,44,2,51,2015-12-15T03:38:44,United States,Md islam,1,0,0,
I think Rebtel is great.  Have recommended it to my friends.,Excellent.,5,15,12,2015,0,51,50,2,51,2015-12-15T00:51:50,United States,Terwase,1,0,0,
I liked Rebtel. Only limitation I have found so far is there is no text message service from US.,Text message service unavailable from US,3,14,12,2015,21,58,31,1,51,2015-12-14T21:58:31,United States,Md Abdullah Al,1,0,0,
"Day 3 - where should I send the ""ticket "" Rebtel ? See below , you promised a refund a  long time ago and -NOTHING !!!!","Horrible , horrible . They still owe me $ , absolutely no response.",1,14,12,2015,20,57,22,1,51,2015-12-14T20:57:22,United States,alena,1,1,0,
"5 stars: Excellent – no reservations, I would recommend this company to anyone.",5 stars: Excellent,5,14,12,2015,19,36,23,1,51,2015-12-14T19:36:23,United States,blaine,1,1,0,
The worst customer service in history. High prices that keep going higher. I've stopped using rebtel.,"Okay quality, high prices, poor customer service",1,14,12,2015,18,18,25,1,51,2015-12-14T18:18:25,United States,Eni,1,0,1,
With rebtel i can now talk to my parents in Africa and my brother in Britain.,Excellent,5,14,12,2015,14,32,1,1,51,2015-12-14T14:32:01,United States,Kingsley,1,0,0,
At some point you provided this service but you also quickly removed it. I for one would request for this unlimited calls to Nigeria to be made permanent for those of us who have been consistent customers.,Unlimited calls to Nigeria,4,14,12,2015,14,18,7,1,51,2015-12-14T14:18:07,United States,Damian,1,0,0,
"I have been using Rebtel for about four years now, and I'm very pleased. It's getting better and cheaper. The convinence in recharging is excellent. And l am also rewarded each time l introduced a friend. l sincerely recommend Rebtel to ALL.",It's Simply Excellent,5,14,12,2015,13,58,37,1,51,2015-12-14T13:58:37,United States,Kemdi,1,0,0,
Rebtel family is an excellent family to be part of,awesome performance keep it up,5,14,12,2015,13,19,46,1,51,2015-12-14T13:19:46,United States,Louis,1,0,0,
"Fast reasonable price for international calling , simple to setup local numbers to call , very satisfied with this service.",Good product for international call,5,14,12,2015,13,2,7,1,51,2015-12-14T13:02:07,United States,Sov,1,0,0,
I will like Rebtel to have a telephone number for customers care services which we can whenever customers have a concern to share.  Also I will like Rebtel to do unlimited calling to Nigeria this festive period.,Customer care services,5,14,12,2015,13,2,4,1,51,2015-12-14T13:02:04,United States,Yemi,1,0,0,
